0.0;1035.9
5;1025.6
10;1035.8
15.0;1038.7
20.0;1030.0
25.0;1013.6
30.0;1031.1
35.0;1037.8
40.0;1028.3
45.0;1010.1
50.0;1028.1
55.0;1017.9
60.0;1032.9
65.0;1036.4
70.0;1032.2
75.0;1015.8
80.0;1031.6
85.0;1022.5
90.0;1013.4
95.0;1054.2
100.0;1017.7
105.0;1039.4
110.0;1027.6
115.0;1031.1
120.0;1032.9
125.0;1033.9
130.0;1044.1
135.0;1038.4
140.0;1029.1
145.0;1038.8
150.0;1035.6
155.0;1036.8
160.0;1036.7
165.0;1043.2
170.0;1020.3
175.0;1015.2
180.0;1040.3
185.0;1035.2
190.0;1033.1
195.0;1020.4
200.0;1037.8
205.0;1022.8
210.0;1028.2
215.0;1027.6
220.0;1007.5
225.0;1048.0
230.0;1031.3
235.0;1041.2
240.0;1025.7
245.0;1048.4
250.0;1022.4
255.0;1027.6
260.0;1019.5
265.0;1031.4
270.0;1034.8
275.0;1026.8
280.0;1022.7
285.0;1019.7
290.0;1027.5
295.0;1030.1
300.0;1009.7
305.0;1032.8
310.0;1027.2
315.0;1032.1
320.0;1045.6
325.0;1022.8
330.0;1023.7
335.0;1044.7
340.0;1033.3
345.0;1022.6
350.0;1059.1
355.0;1019.5
360.0;1024.6
365.0;1024.1
370.0;1035.2
375.0;1037.0
380.0;1040.7
385.0;1031.6
390.0;1033.4
395.0;1019.4
400.0;1032.0
405.0;1025.6
410.0;1029.0
415.0;1031.4
420.0;1034.4
425.0;1034.6
430.0;1010.8
435.0;1020.2
440.0;1028.4
445.0;1032.4
450.0;1019.2
455.0;1032.7
460.0;1014.9
465.0;1031.4
470.0;1038.4
475.0;1029.9
480.0;1036.5
485.0;1035.4
490.0;1019.0
495.0;1031.4
